"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","cfa04810","Regulation of actin cytoskeleton","225/7472","240/9973",0.9375,1.25129650695931,6.81116547950036,1.05281371534396e-14,3.27329355134212e-13,5.9441157134252e-14,"403580/490649/481097/442860/100683291/610290/484056/449021/480037/475024/100856477/479317/479139/609534/475549/476331/485864/442964/100856339/477598/491857/485856/481280/100686332/474819/479772/479745/489221/100683352/477021/487343/477187/483699/478666/479409/100855712/488012/479348/479354/478347/403872/479497/489095/476413/479555/403473/607207/490230/102154318/477340/491034/609956/490901/486934/486493/479050/479460/100856539/480672/491924/484526/474816/475345/491597/100683226/479836/403871/489210/488485/100856354/479252/491074/612856/490390/486492/486299/608977/488437/475846/476865/484648/106560075/479446/607397/483665/100856563/100855877/480369/478828/477085/479177/403954/475213/482041/449622/481396/475108/474417/611939/475245/403558/486040/479921/477575/487119/608414/491183/403614/607885/480193/403789/479001/403657/403658/403702/403735/415125/403770/403788/403827/403845/403857/403858/403868/403915/404306/442985/442986/487235/403557/478890/403955/479744/607701/477526/485552/480659/481271/483318/484802/478171/478353/611002/476022/475923/475673/474800/482666/100684883/607724/100855820/486959/477082/100856747/487731/608459/100856038/611314/488942/607952/488368/611707/483680/483681/488084/608287/100684977/489800/486363/612814/608177/488429/490682/607096/478907/486724/487472/488808/608125/486735/611773/483776/489091/491901/106558389/489905/490405/490412/479135/489928/489929/611641/491974/491978/480977/492067/480181/490878/489208/612454/485016/491180/100684309/485054/485084/490847/612404/489644/608060/102154266/484213/475253/100688336/482970/477956/484395/475526/610829/403543/483856/485474/484513/485772/475411/106559217",225
NA,NA,"cfa04081","Hormone signaling","206/7472","218/9973",0.944954128440367,1.26124565349783,6.74087702277686,1.1885392405536e-14,3.38733683557776e-13,6.15121185900546e-14,"483783/477732/489077/485773/477160/487289/480515/403455/607357/403472/485864/486506/100856339/403895/403866/482994/100687307/609547/100686332/490969/403943/474762/477498/403859/478484/479975/100683432/492281/608289/476034/102154318/403599/609956/490901/610817/484990/403454/480808/100685087/481520/442951/450207/488241/100855806/476196/403639/485548/442957/607163/484185/479733/609616/483664/403912/488437/490967/483665/478624/609157/403483/490968/612616/608623/611810/477085/403954/485088/403721/490031/478227/403587/403617/403625/403635/403640/403718/442979/403788/403779/403783/399545/403795/403804/403835/403836/403910/403914/403928/403946/403962/403968/403973/403986/403987/403993/404002/610255/487235/403511/478757/478837/482384/403556/611002/403562/403563/403571/486977/486006/403579/489652/485808/483961/486951/449022/100855756/483981/475456/484716/486095/403415/485863/100855930/477625/608671/100856190/486591/481142/488578/485428/479995/486148/485909/487984/486888/100855896/610169/484038/607513/488084/484041/488087/485333/487329/485938/486911/480271/403909/609603/100683848/100855822/482007/486671/488402/485985/100855976/610380/403701/488793/100101479/607641/488824/403601/488846/482045/487441/491926/489110/100856162/491964/490813/484943/490455/481748/492059/479363/485063/100534634/612139/485072/611349/489644/481272/481778/484156/403616/482306/482446/100684829/481365/481367/482385/100855938/612335/403659/485127/106559760/484439/100855474/493972/611041/100856134/611663/477035/484670/483368",206
"Human Diseases","Infectious disease: viral","cfa05166","Human T-cell leukemia virus 1 infection","205/7472","217/9973",0.944700460829493,1.26090707920939,6.71633816798146,1.50926110472981e-14,3.97051767551996e-13,7.21023523717075e-14,"403486/474652/612559/442952/607100/478331/442859/482437/449021/489508/487289/607357/477039/403412/100856393/442964/479450/474890/477471/100856339/478324/477857/480481/482994/474475/612861/480291/490969/606963/403859/481526/481628/100855664/403584/483925/479975/481330/492093/478347/403872/474609/483594/403439/609956/475750/474503/475266/479747/479678/403869/485046/474681/486728/449028/483370/612305/476196/403871/479123/477302/476734/489287/609027/403469/486338/474860/481732/476070/477746/480129/478151/479248/478624/100855877/490968/478061/476209/477085/484610/494001/541592/607827/481131/484510/611782/611939/476694/486858/489717/475359/403523/477955/478806/478464/474855/477575/474836/490031/488596/487057/403634/403985/403663/476915/403735/403770/403931/403832/403851/403870/403908/403923/403924/403975/100855741/442981/480830/487235/442989/487141/490796/403922/475450/475453/479419/474869/481731/611193/403989/403618/403556/475630/609033/476817/611934/479255/482839/479307/481679/487761/479866/490792/608342/100855704/607879/485839/100856315/486264/611255/477625/608350/483636/477796/488574/488239/609767/474838/607183/488084/485930/480271/480272/488747/489383/479219/483724/483728/483729/488036/491369/607922/490924/490926/607786/477563/100684638/611011/489432/491860/610004/607785/490971/488828/100855803/482045/609673/489905/100684945/610902/612303/480144/481528/490878/609429/485079/489644/481787/608847/481563/481328/483832/483845/484454/100855774/477052",205
"Cellular Processes","Transport and catabolism","cfa04140","Autophagy - animal","159/7472","165/9973",0.963636363636364,1.2861811368503,6.40686346208358,5.89574382310153e-14,1.44024599107195e-12,2.61540515460895e-13,"478013/608721/475718/481037/612919/474652/607998/100855933/474636/478232/475497/477876/475264/487841/479883/449021/478564/403416/479220/480513/479619/442964/479875/100856339/488395/480428/479479/480950/480348/610682/479975/607408/480580/475876/478347/403872/480509/403773/476413/476533/480545/609956/100856311/478003/476745/100856572/442951/494005/484953/403871/485548/474994/609599/477437/477299/483662/481459/486535/489525/488471/476865/100685060/484648/484668/483987/477746/483665/102154798/489561/612505/480820/490477/478257/481569/100855877/481015/480361/490768/477085/479351/100856310/485594/486442/485088/611939/486077/476995/478464/485205/479513/477575/479646/608092/489374/474599/610868/403722/403735/403774/403832/404007/483632/480570/403170/475545/487235/610064/609784/490899/477064/480688/477462/484142/611659/403618/610936/403556/483756/487516/487503/489038/100684215/477201/482873/100688110/475756/477082/486263/610103/483634/610498/481145/488576/486148/488084/610499/477412/610766/100856511/102153942/102156614/483763/482028/490704/490371/612890/491907/492059/490878/484140/489571/489644/481630/102156745/610130/100685754/482799/608378/476548",159
"Organismal Systems","Nervous system","cfa04725","Cholinergic synapse","112/7472","113/9973",0.991150442477876,1.32290462564666,5.96661136916028,2.15513056607636e-13,4.91369769065411e-12,8.92299672971968e-13,"489968/483783/488355/485773/449021/477160/403416/487289/607357/442964/100856339/403895/482994/100686332/403859/490244/403516/479975/478347/403872/486628/100683432/476034/609956/474503/610817/475266/490904/481746/485046/100855806/403871/442957/484185/482687/479733/403912/610764/478624/609157/100855877/608623/611810/477085/475032/477575/490031/478227/403617/403717/403735/403760/403827/403858/403914/403928/487235/488696/403511/403556/611934/611002/490792/480660/612941/475103/486774/486775/100684140/484724/477625/100856190/611314/483636/487756/483669/607513/488084/488087/480271/485972/612515/491369/607922/489828/487472/489050/483776/480915/482045/100686650/490443/608225/612805/612303/490878/100534634/612139/481253/611349/489644/482110/482111/481311/474965/100855828/482451/483266/612053/106559760/482836/476548",112
NA,NA,"cfa04082","Neuroactive ligand signaling","190/7472","202/9973",0.94059405940594,1.25542619840142,6.33905235111247,5.23757721694411e-13,1.1195321301218e-11,2.03300694605068e-12,"492223/489968/483783/606913/485773/477160/487289/484655/607357/100687745/403895/403866/482994/100687307/481749/100686332/403943/403859/403748/476534/479975/403815/475477/100683432/476034/610817/490904/448785/448783/448782/448781/494009/494007/450240/100855806/449621/489020/442957/479733/403912/478624/609157/608623/611810/100683236/490031/478227/403617/403741/403749/403750/403751/403805/403812/403813/403814/403827/403858/403881/403882/403910/403914/403928/403960/403962/403963/442958/489609/477762/475239/488696/403511/491223/481452/403556/611002/100533479/474789/482131/485146/484024/489427/481627/486774/486775/485808/483961/482623/486951/100683938/486074/486095/102155830/482667/487719/477625/485870/100856190/100684421/611314/487272/612095/488685/488688/484751/100316859/486138/403961/609304/487984/486888/607513/484041/488087/487329/485938/610429/486908/607416/488340/480271/477282/485966/485972/487230/485985/100855976/489399/611236/403701/489828/488130/488793/487472/486436/483776/488824/404013/100856253/482045/489110/489124/100688531/490443/489141/489143/489145/489146/489168/489172/403410/489198/492110/607658/490012/491184/492220/492225/100505395/100534634/612139/611349/485092/611198/482110/482111/482270/100856619/482132/481311/481876/100855828/481907/481917/481918/608269/481938/476415/484405/403659/106559760/483302/493972/482526/484480/482814/482836/484674/485202/485203",190
"Environmental Information Processing","Signal transduction","cfa04022","cGMP-PKG signaling pathway","157/7472","164/9973",0.957317073170732,1.27774667702512,6.19885031026149,5.99703516961792e-13,1.20646236941725e-11,2.19086733750747e-12,"403486/476535/612559/403784/485773/449021/477160/487289/488584/607357/442964/403866/482994/479797/485856/612861/486079/403480/488636/474762/606963/403859/490413/490244/486639/477187/403516/483925/478666/488012/492093/478347/608594/486628/608289/479155/403731/476034/102154318/474503/490901/475266/484990/481746/479678/485046/481036/474681/450187/475345/610502/485548/442957/403825/609616/609027/475738/484648/483665/479248/478624/100855877/477098/611810/479021/403954/611939/414755/479714/478806/403558/553102/474855/477575/490031/403992/478227/480416/403658/403862/442979/403805/403836/403891/403910/403914/403928/403936/403962/403966/403984/480830/403807/403557/475630/611934/479255/403878/492238/478351/484420/482856/102153034/100855453/482663/484724/102156683/100855930/477625/100856190/483636/403961/486148/486888/610169/488085/485930/487329/480271/480272/610836/100855976/491369/607922/491437/609739/483763/488793/479455/489435/488179/480915/482045/487441/490755/489479/403983/608225/612805/612303/490455/492059/480181/490878/607269/609934/474584/482970/483832/483266/485435/493972/612463/487146/609574/475411/476548",157
"Human Diseases","Endocrine and metabolic disease","cfa04931","Insulin resistance","107/7472","108/9973",0.990740740740741,1.32235779007058,5.82175900229625,8.89422139087942e-13,1.68990206426709e-11,3.06876644480635e-12,"478013/403583/489968/474652/475546/403738/478232/477488/442859/403784/482437/449021/442964/479875/100856339/403560/475389/477464/477295/607668/480291/474653/489190/477802/482881/478298/479577/480580/608675/609956/100685468/475266/480955/484990/403654/485046/494005/612305/100855793/485548/474666/483625/480255/477766/486295/484835/479127/490967/491303/477746/483665/403475/611993/478575/477085/479351/403492/481184/477003/610057/403673/403558/475931/478464/474624/486559/403634/403985/403737/403783/403832/442949/487235/403557/488526/612448/489807/403922/477263/611934/482839/485819/483636/486148/100856379/488084/490610/610499/488389/485953/487353/483729/491369/607922/611078/490942/488165/491989/612303/490878/489571/100683481/489644/491317/609934/482411/485494",107
"Organismal Systems","Development and regeneration","cfa04360","Axon guidance","175/7472","185/9973",0.945945945945946,1.26256944846345,6.23068501325533,9.49800743064496e-13,1.70964133751609e-11,3.10461184713603e-12,"403486/485874/490649/612559/477488/477828/607997/485864/479875/100856339/478949/477074/485856/478622/612309/478484/483699/479409/479577/486844/403872/476413/403438/477953/607410/607207/478485/486756/609956/474459/490904/479678/477623/484736/403871/442957/482687/490390/609027/483191/483098/610764/486107/484648/610389/479248/476350/478575/100855877/487635/484721/487930/611810/479158/477085/486818/595148/489132/403954/475032/609483/489692/449622/475108/490431/475537/477955/477575/487979/491183/478227/607885/480193/403735/486165/484137/487235/403955/476836/477526/100688869/489307/481271/476022/477270/475929/485671/483417/490270/490132/612941/100687386/478925/486004/100685138/483386/483387/482857/475930/475431/608458/485677/483976/481432/487690/485698/487691/486093/100856038/607935/481144/484762/484763/100856151/488084/485926/485930/611862/488741/480272/489800/476636/488108/486363/612814/483215/100855988/489830/479239/487380/487383/612367/489050/489435/487421/489097/607903/479135/490416/100856705/490433/489497/487644/492067/492072/480181/485035/492243/100683481/479878/482251/492244/489644/491284/491292/102154266/489756/482262/481319/481343/100684553/610879/474997/482970/482735/477956/483844/483004/608860/610229/484513/485772/106559217/483923/611745",175
"Human Diseases","Endocrine and metabolic disease","cfa04934","Cushing syndrome","147/7472","153/9973",0.96078431372549,1.28237445941974,6.08370440911028,1.26913790647722e-12,2.17022582007605e-11,3.94100718327137e-12,"608981/485773/477160/487289/479139/607357/474890/480092/482994/403897/403943/403859/490244/403516/403429/100855664/483146/479975/475251/478347/486628/476034/486756/474503/475266/100683160/481746/488478/486507/485046/449028/489542/442957/482687/486241/479417/610764/490099/478624/478299/478575/100855877/484721/488939/475588/611810/475589/484610/483225/488171/481131/483758/611939/475359/478806/488752/474855/477575/490031/403533/478227/487057/403610/476915/415124/403783/403836/403914/403928/404306/477032/487073/482384/478365/403556/611934/607180/488568/100685660/612941/486977/100855704/486232/485839/100855756/612070/486261/486093/484724/486558/486560/609708/477625/100856190/483636/486841/488239/485427/477807/486894/490903/478507/610467/478650/480271/490295/489809/488669/490919/609107/491369/607922/481206/610380/488422/483220/490937/612367/488527/488528/489050/489447/481506/480915/489464/482045/489931/491083/100855884/482208/612303/482209/482071/481243/100855811/485084/608113/481563/482294/609920/612141/612328/475526/403659/485149/485183/476548",147
"Metabolism","Lipid metabolism","cfa00564","Glycerophospholipid metabolism","94/7472","94/9973",1,1.33471627408994,5.63555877135217,1.410126826429e-12,2.29649226018438e-11,4.17029988768477e-12,"484502/403403/486715/100855691/609933/479557/485626/475670/487840/479680/612306/477582/476045/485876/607640/100684122/478460/475658/478511/486890/100686158/479504/479526/478600/100683790/610214/607608/483023/474857/489940/475920/607942/483635/606800/609018/100856443/481256/478238/485778/478207/100855579/479204/612948/607962/488066/480048/607530/487514/477544/100687022/475585/477846/476002/480663/478935/102151235/478755/478514/482709/488115/485780/483401/486775/100856013/611330/487512/608811/487515/488238/404011/478505/486637/486167/486361/489828/489045/487398/487399/487397/488167/489056/479473/491884/488867/491069/491102/484993/612697/489997/491249/482328/100302747/476932/611194",94
"Environmental Information Processing","Signal transduction","cfa04310","Wnt signaling pathway","160/7472","168/9973",0.952380952380952,1.27115835627613,6.12641701439784,1.53875960549756e-12,2.39207175036438e-11,4.34386682891655e-12,"489968/403486/474652/612559/478661/403408/485773/477160/476314/479139/474682/477074/475471/442950/482844/484193/483258/474494/480418/483925/479975/476896/483133/100306933/492144/480209/474844/476287/476034/486756/479291/479331/490904/491114/479678/488478/403869/449028/476196/484699/611017/476512/482687/480062/100684514/609027/610764/486122/475512/477746/490099/479248/478575/484721/100856496/403954/611782/478827/476317/478464/487081/490714/491160/486846/403610/403924/477032/403955/481148/611276/487073/479662/490948/481271/611208/489557/403556/481252/607180/479866/488048/480903/612941/478108/486232/485813/477185/612070/486093/486560/100856190/486826/486841/100856007/487288/486851/490231/609478/488070/610189/486894/478502/490903/478507/485930/486339/611907/478650/480272/482004/483724/489809/489012/477692/490919/609107/481206/483220/490937/612367/488527/488528/489432/489050/481506/609600/488176/491874/489464/100684945/482048/100855884/482208/610902/482209/487624/481756/609429/100855811/100687252/485066/485084/474510/611037/481783/481795/608847/482294/100855828/102156745/608179/612141/612328/482970/485149/485183/607210/475401/483374/106559217",160
"Environmental Information Processing","Signal transduction","cfa04152","AMPK signaling pathway","120/7472","123/9973",0.975609756097561,1.30216221862433,5.82810438653787,3.75361018900146e-12,5.58145515060217e-11,1.01356064600039e-11,"403583/487139/475546/477732/480436/478232/478019/479883/449021/478053/610262/484335/442964/479875/100856339/479182/477374/475590/403866/403560/477295/481954/491903/479444/487797/480580/485884/403773/474818/609956/100685468/475266/484990/485046/476300/442951/492302/450207/449028/480349/612305/480289/485548/490280/477302/477437/483378/480255/486295/476299/403607/479127/477403/483665/403475/481806/611993/478870/487831/477085/479351/491130/485672/403492/611619/481184/100856778/485088/403673/486839/100855509/475931/486559/403625/403737/403958/404009/610255/479812/475545/487235/479115/488526/480688/611934/490559/482873/489688/486263/403849/483636/479995/486148/100856379/491587/488084/480011/610499/488389/484777/609377/489012/491369/607922/483755/490942/612303/492059/611201/490878/489571/476744/489644/403616/102156745/610130/483845/485442/403606/608378",120
"Human Diseases","Cancer: specific types","cfa05226","Gastric cancer","140/7472","146/9973",0.958904109589041,1.27986492036021,5.88799097711977,7.46309051210651e-12,1.06349039797518e-10,1.93123833427318e-11,"480522/477019/478232/449021/403416/479139/477039/403412/442964/474890/100856339/491278/491857/100855728/481628/403429/100855664/480580/100306933/478347/403872/403438/483626/490439/477340/486756/609956/479331/488478/403869/483808/449028/483312/476196/403871/474698/484648/489647/490099/403879/478575/100855877/484721/478989/477085/484610/476352/611939/403523/477575/442858/488596/487057/403610/403657/476915/403735/415125/403857/403868/403883/403915/403924/404306/477032/487235/490796/477045/487073/480786/607180/481735/483088/607724/403441/100855704/486028/486232/100855820/485839/612070/486093/486560/608459/487050/479180/486841/607952/488239/611707/483680/483681/486894/490903/488084/478507/610499/478650/489809/489008/477692/490919/609107/481206/483220/490937/490682/612367/487546/488527/488528/486735/611773/481506/481744/489464/611641/100855884/491974/482208/610902/482209/480144/490878/612454/100855811/485069/485084/612404/489644/481563/482294/484198/612141/612328/484395/475526/485149/608860/485183",140
"Organismal Systems","Endocrine system","cfa04919","Thyroid hormone signaling pathway","116/7472","119/9973",0.974789915966387,1.3010679646591,5.7106358705194,1.09675965850099e-11,1.50036721282936e-10,2.72458188848667e-11,"403580/489968/485874/475684/476917/478232/479515/478019/482437/609864/485773/479883/449021/477160/486989/485864/442964/479875/100856339/491278/479797/477295/486079/488636/486808/480348/479975/487797/478347/403872/608594/476034/485094/403599/609956/490904/403869/481036/449028/403871/487309/488437/484648/478575/477496/100855877/478989/477098/477085/489692/607887/487432/476769/611939/414755/482023/480533/477575/475035/478040/403992/403635/403640/403735/403788/403924/403966/477032/475545/403807/487235/480529/100855688/478171/403693/403556/403878/479866/480884/475923/481735/480582/100683791/403849/100856190/483148/488084/480011/609603/486657/481726/490929/491437/483763/612367/478910/490695/490971/610439/403601/489479/100684945/491964/490813/612596/478372/490878/480676/489644/612800/100855828/612335/485586/612463/485494/477052",116
"Organismal Systems","Endocrine system","cfa04921","Oxytocin signaling pathway","144/7472","151/9973",0.95364238410596,1.27284200972815,5.83918814950576,1.52259507505266e-11,1.948517119443e-10,3.5383967389085e-11,"403580/489968/403486/475546/611498/612559/488355/403784/485773/477160/476585/487289/488584/607357/489967/485864/474890/100686627/486563/482994/485856/403943/474762/403859/606491/490244/477187/403516/483925/479975/488012/478347/403872/486628/608289/607030/490230/479155/476034/490904/481746/479678/484665/449028/475345/100683226/489284/403871/442957/606992/482687/486295/609027/610764/484648/479248/478624/609157/100855877/611810/479351/403954/607887/611939/403558/553102/480048/610342/487113/403615/477575/490031/486559/478227/480416/442942/403717/403735/403756/403760/403928/487514/404306/479812/607636/403557/488526/403556/490905/477733/490792/475923/612941/478351/481279/102153034/100684140/486263/482663/484724/477625/100856190/487512/487756/608811/487515/100688870/100856379/100856408/480463/610892/485930/490273/480271/480272/479455/491860/489050/480915/482045/491030/608225/612805/609559/490455/489532/480181/609429/489571/476744/607269/481253/474584/484315/611509/100855828/482970/483266/612053/485435/487146/484670/475411/476548",144
"Human Diseases","Cancer: specific types","cfa05225","Hepatocellular carcinoma","157/7472","166/9973",0.94578313253012,1.26235213874771,5.89146478386564,1.53830298903395e-11,1.948517119443e-10,3.5383967389085e-11,"403580/489968/485874/475037/481107/478232/449021/479139/477039/403412/442964/474890/100856339/484047/477814/491857/100855728/476078/481628/100855664/479912/403431/486404/480580/100306933/478347/476710/403872/100686488/403438/608155/483626/476593/490439/474536/486756/609956/479331/100856518/490904/488478/403869/483808/442951/449028/483312/476196/403871/610935/100688573/483664/475541/484648/477683/490099/478575/100855877/484721/476640/477085/478813/476352/480477/489692/481131/611939/403523/477575/476713/488596/403610/476915/403735/403832/403924/404306/477032/487235/442987/477556/490796/487073/474939/608250/487352/476006/609050/610304/403618/476005/607180/479911/475923/478637/486407/403441/486232/485839/612070/486093/486548/486560/479180/486841/478130/488239/477813/486894/490903/488084/478507/610499/478650/489809/477692/490919/609107/481206/483220/490937/490682/608417/483763/612367/487546/488527/488528/491860/481506/481744/489464/611798/100855884/482208/610902/482209/480144/490878/100855811/485069/485084/489644/482294/609920/476335/484198/481841/474938/477558/100855828/612141/612328/484619/475526/485149/485183/484535",157
"Environmental Information Processing","Signaling molecules and interaction","cfa04080","Neuroactive ligand-receptor interaction","318/7472","358/9973",0.888268156424581,1.18558596413575,6.18108501771018,1.81912831310011e-11,2.22193529671514e-10,4.03490866439498e-11,"492223/607963/606913/478047/403455/403472/608509/100687745/403866/100687307/474475/476728/481749/609547/403424/611497/478666/403430/102153003/403815/475477/403436/403602/483497/484959/403599/403454/482112/100856539/474816/448785/448783/448782/448781/450207/494009/494007/488241/450240/450220/450187/449621/489020/403483/403508/475257/100683236/403721/403587/403589/403658/481029/403699/403712/399518/403718/403862/403741/403757/442979/403779/403783/399545/403795/403797/403804/403805/403812/403813/403814/403827/403835/403836/403858/403881/403882/403910/403946/403960/403962/403963/442974/403968/403973/403986/403993/404001/475521/489609/477762/475239/100687948/610900/488696/607433/608592/479051/491223/487863/484802/481452/488438/482384/611644/474554/403562/403563/100533479/474789/403571/482131/485146/486977/484024/403579/489427/481627/474800/489652/487207/485808/483961/610154/486949/486951/449022/403817/100855756/483981/483989/100683938/486074/100856430/486095/448778/482661/102155830/486101/403415/482667/100855494/485863/487719/608671/100684421/611314/481142/488940/488942/106558365/488685/488688/484751/488578/403961/485428/485909/102155073/487984/486888/100855896/100856663/488000/484038/486162/484041/486163/485333/487329/606919/491746/485938/610429/487336/486911/488340/403406/102151474/490624/106559146/491754/403909/106559147/100683848/477282/485963/485972/487230/482007/491678/612289/485985/100855976/610380/609846/403701/100687924/486704/608290/609566/488130/490944/100686744/488793/610845/487472/486436/100101479/483776/484846/607641/488824/490726/479471/488832/489075/489082/403601/100855637/489473/488846/489110/100856162/489124/100688531/490443/489141/489143/489145/489146/491978/491980/489499/481748/610828/489168/489170/489172/403410/490512/482069/100683842/489198/492110/479363/489237/613002/490012/492213/492220/492225/485056/612082/445457/490847/485092/612374/610233/490187/479981/481272/481778/481787/403616/482110/482111/482270/100856619/482132/482306/403742/484199/481876/481365/481367/611696/100682920/100686684/481907/481913/481917/481918/482385/482386/482394/608269/482972/481938/100856662/476084/484405/403659/483846/607818/484429/484439/485445/100856069/100855474/483302/493972/611041/483883/484480/483325/482814/100856134/611663/477035/482836/482837/484670/484674/485202/485203/100686426/483368/611687",318
